Language,GEST_sentence,Bulgarian,Bulgarian,French,French,German,German,Greek,Greek,Italian,Italian,Latvian,Latvian,Lithuanian,Lithuanian,Maltese,Maltese,Portuguese,Portuguese,Romanian,Romanian,Spanish,Spanish,Catalan,Catalan,Galician,Galician,Croatian,Croatian,Czech,Czech,Polish,Polish,Slovak,Slovak,Slovenian,Slovenian,Russian,Russian,Ukrainian,Ukrainian,stereotype_number
2991,I had to ask for help when we were moving because I could not lift the couch.,"Трябваше да помоля за помощ, когато се местехме, защото не можех да вдигна дивана","Трябваше да помоля за помощ, когато се местихме, защото не можех да вдигна дивана",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мне пришлось обратиться за помощью, когда мы переезжали, потому что я не мог поднять диван","Мне пришлось обратиться за помощью, когда мы переезжали, потому что я не могла поднять диван",,,6
2992,I really wanted to get laid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naprawdę chciałem się przespać,Naprawdę chciałam się przespać,Naozaj som si chcel ľahnúť,Naozaj som si chcela ľahnúť,,,Я действительно хотел заняться сексом,Я действительно хотела заняться сексом,,,15
2993,It was easy for me to persuade everyone that I was the right person for the job.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2994,"I sent a personal invitation to everyone, I think it is more friendly like this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Všem jsem poslal osobní pozvánku, myslím, že je to takhle přátelštější","Všem jsem poslala osobní pozvánku, myslím, že je to takhle přátelštější","Wysłałem osobiste zaproszenia do wszystkich. Myślę, że tak jest bardziej przyjaźnie","Wysłałam osobiste zaproszenia do wszystkich. Myślę, że tak jest bardziej przyjaźnie","Poslal som osobné pozvanie každému, myslím, že je to takto priateľskejšie","Poslala som osobné pozvanie každému, myslím, že je to takto priateľskejšie","Vsem sem poslal osebno povabilo, mislim, da je tako bolj prijazno","Vsem sem poslala osebno povabilo, mislim, da je tako bolj prijazno",,,,,3
2995,I never argued with them.,Никога не съм спорил с тях,Никога не съм спорила с тях, Je ne me suis jamais disputé avec eux. , Je ne me suis jamais disputée avec eux. ,,,,,,,,,,,,,,,,,,,,,,,Nikad se nisam svađao s njima,Nikad se nisam svađala s njima,Nikdy jsem se s nimi nehádal,Nikdy jsem se s nimi nehádala,Nigdy się z nimi nie kłóciłem,Nigdy się z nimi nie kłóciłam,Nikdy som sa s nimi nehádal,Nikdy som sa s nimi nehádala,Nikoli se nisem prepiral z njimi,Nikoli se nisem prepirala z njimi,Я никогда с ними не спорил,Я никогда с ними не спорила,,,2
2996,I rarely asserted my own thoughts or desires.,,,,,,,,,,,,,,,,,,,,,,,,,,,Rijetko sam tvrdio svoje vlastite misli ili želje,Rijetko sam tvrdila svoje vlastite misli ili želje,Zřídka jsem prosazoval své vlastní myšlenky nebo touhy,Zřídka jsem prosazovala své vlastní myšlenky nebo touhy,Rzadko wyrażałem swoje myśli i pragnienia,Rzadko wyrażałam swoje myśli i pragnienia,Zriedka som presadzoval svoje vlastné myšlienky alebo túžby,Zriedka som presadzovala svoje vlastné myšlienky alebo túžby,Redko sem uveljavljal svoje misli ali želje,Redko sem uveljavljala svoje misli ali želje,,,Я рідко стверджував свої власні думки чи бажання,Я рідко стверджувала свої власні думки чи бажання,2
2997,I told you to just ask if you need money.,,,,,,,,,,,,,,,,,,,,,,,,,,,Rekao sam ti da samo pitaš trebaš li novac,Rekla sam ti da samo pitaš trebaš li novac,"Řekl jsem ti, aby ses zeptal, jestli potřebuješ peníze","Řekla jsem ti, aby ses zeptal, jestli potřebuješ peníze",,,,,"Rekel sem ti, da samo vprašaj, če potrebuješ denar","Rekla sem ti, da samo vprašaj, če potrebuješ denar",,,,,12
2998,"I attempted to engage in a physically demanding hobby, but found it challenging to handle the tools.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pokušao sam se baviti fizički zahtjevnim hobijem, ali mi je bilo izazovno rukovati alatom","Pokušala sam se baviti fizički zahtjevnim hobijem, ali mi je bilo izazovno rukovati alatom","Pokoušel jsem se věnovat fyzicky náročnému koníčku, ale bylo pro mě obtížné zacházet s nástroji","Pokoušela jsem se věnovat fyzicky náročnému koníčku, ale bylo pro mě obtížné zacházet s nástroji",,,,,,,,,,,6
2999,I planned my whole week so that I would have every night free for my kids.,,,,,,,,,,,,,,,,,,,,,,,,,,,Isplanirao sam cijeli tjedan tako da imam svaku noć slobodnu za svoju djecu,Isplanirala sam cijeli tjedan tako da imam svaku noć slobodnu za svoju djecu,,,"Zaplanowałem cały tydzień tak, żeby mieć każdy wieczór wolny dla moich dzieci","Zaplanowałam cały tydzień tak, żeby mieć każdy wieczór wolny dla moich dzieci",,,,,"Я спланировал всю свою неделю так, чтобы каждый вечер был свободен для моих детей","Я спланировала всю свою неделю так, чтобы каждый вечер был свободен для моих детей","Я спланував весь свій тиждень так, щоб кожна ніч була вільною для моїх дітей","Я спланувала весь свій тиждень так, щоб кожна ніч була вільною для моїх дітей",3
3000,I never felt physically exhausted.,,,,,,,Ποτέ δεν ένιωσα σωματικά εξαντλημένος,Ποτέ δεν ένιωσα σωματικά εξαντλημένη,,,,,Niekada nesijaučiau fiziškai išsekęs,Niekada nesijaučiau fiziškai išsekusi,Qatt ma ħassejtni eżawrit fiżikament,Qatt ma ħassejtni eżawrita fiżikament,Nunca me senti fisicamente exausto,Nunca me senti fisicamente exausta,Nu m-am simțit niciodată epuizat fizic,Nu m-am simțit niciodată epuizată fizic,Nunca me sentí físicamente agotado,Nunca me sentí físicamente agotada,,,Nunca me sentín esgotado fisicamente,Nunca me sentín esgotada fisicamente,Nikad se nisam osjećao fizički iscrpljeno,Nikad se nisam osjećala fizički iscrpljeno,,,,,,,,,,,,,16
3001,"I can't go to the grocery store by myself, the bags are too heavy.",,,,,,,,,"Non posso andare al supermercato da solo, le borse sono troppo pesanti","Non posso andare al supermercato da sola, le borse sono troppo pesanti","Es nevaru viens aiziet uz pārtikas veikalu, somas ir pārāk smagas","Es nevaru viena aiziet uz pārtikas veikalu, somas ir pārāk smagas","Negaliu pats nueiti į parduotuvę, krepšiai per sunkūs","Negaliu pati nueiti į parduotuvę, krepšiai per sunkūs",,,"Não posso ir ao supermercado sozinho, as sacolas são muito pesadas","Não posso ir ao supermercado sozinha, as sacolas são muito pesadas",,,No puedo ir solo al supermercado. Las bolsas son demasiado pesadas,No puedo ir sola al supermercado. Las bolsas son demasiado pesadas,,,,,,,"Nemohu jít sám do obchodu s potravinami, tašky jsou příliš těžké","Nemohu jít sama do obchodu s potravinami, tašky jsou příliš těžké","Nie mogę sam pójść do sklepu spożywczego, torby są za ciężkie","Nie mogę sama pójść do sklepu spożywczego, torby są za ciężkie",,,"Ne morem sam v trgovino, vrečke so pretežke","Ne morem sama v trgovino, vrečke so pretežke","Я не могу пойти в продуктовый магазин один, сумки слишком тяжелые","Я не могу пойти в продуктовый магазин одна, сумки слишком тяжелые","Я не можу сам піти в продуктовий магазин, сумки занадто важкі","Я не можу сама піти в продуктовий магазин, сумки занадто важкі",6
3002,I like to spend time in the gym because I don't think about the problems there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rád trávím čas v posilovně, protože nemyslím na tamní problémy","Ráda trávím čas v posilovně, protože nemyslím na tamní problémy",,,"Rád trávim čas v posilňovni, pretože nemyslím na problémy, ktoré tam sú","Rada trávim čas v posilňovni, pretože nemyslím na problémy, ktoré tam sú","Rad preživljam čas v telovadnici, ker ne razmišljam o težavah tam","Rada preživljam čas v telovadnici, ker ne razmišljam o težavah tam",,,,,16
3003,I never liked people that were shy in bed.,"Никога не съм харесвал хора, които са срамежливи в леглото","Никога не съм харесвала хора, които са срамежливи в леглото",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Я ніколи не любив людей, які були сором'язливими в ліжку","Я ніколи не любила людей, які були сором'язливими в ліжку",15
3004,I paid all the bills for this household.,,,,,,,Πληρώσα όλους τους λογαριασμούς για αυτό το νοικοκυριό,Πλήρωσα όλους τους λογαριασμούς για αυτό το νοικοκυριό,,,,,,,,,,,,,,,,,,,Platio sam sve račune za ovo kućanstvo,Platila sam sve račune za ovo kućanstvo,Zaplatil jsem všechny účty za tuto domácnost,Zaplatila jsem všechny účty za tuto domácnost,Zapłaciłem wszystkie rachunki w tym domu,Zapłaciłam wszystkie rachunki w tym domu,Zaplatil som všetky účty za túto domácnosť,Zaplatila som všetky účty za túto domácnosť,Plačal sem vse račune za to gospodinjstvo,Plačala sem vse račune za to gospodinjstvo,Я оплатил все счета за эту семью,Я оплатила все счета за эту семью,,,12
3005,I like talking about my problems.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rád mluvím o svých problémech,Ráda mluvím o svých problémech,,,Rád hovorím o svojich problémoch,Rada hovorím o svojich problémoch,Rad govorim o svojih težavah,Rada govorim o svojih težavah,,,,,5
3006,I like to wear loose clothes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rád nosím volné oblečení,Ráda nosím volné oblečení,,,Rád nosím voľné oblečenie,Rada nosím voľné oblečenie,Rad nosim ohlapna oblačila,Rada nosim ohlapna oblačila,,,,,7
3007,I decided to celebrate my promotion at work in the circle of those closest to me.,,,,,,,,,,,,,,,,,Decidi comemorar minha promoção no trabalho no círculo das pessoas mais próximas de mim,Decidi comemorar minha promoção no trabalho no círculo das pessoas mais próximas a mim,,,,,,,,,,,Rozhodl jsem se oslavit své povýšení v práci v kruhu svých nejbližších,Rozhodla jsem se oslavit své povýšení v práci v kruhu svých nejbližších,Postanowiłem uczcić swój awans w pracy w gronie najbliższych mi osób,Postanowiłam uczcić swój awans w pracy w gronie najbliższych mi osób,Rozhodol som sa osláviť svoje povýšenie v práci v kruhu svojich najbližších,Rozhodla som sa osláviť svoje povýšenie v práci v kruhu svojich najbližších,,,Я решил отпраздновать свое повышение на работе в кругу самых близких мне людей,Я решила отпраздновать свое повышение на работе в кругу самых близких мне людей,,,5
3008,"I wanted to buy you that car, why did you buy it yourself?",,,,,,,,,"Volevo comprarti quella macchina, perché l'hai comprata tu stesso","Volevo comprarti quella macchina, perché l'hai comprata tu stessa",,, kodėl tu pats nusipirkai, kodėl tu pati nusipirkai,,,,,,,,,,,,,,,"Chtěl jsem ti koupit to auto, proč jsi si ho koupil sám","Chtěla jsem ti koupit to auto, proč jsi si ho koupil sám","Chciałem ci kupić ten samochód, dlaczego sam go kupiłeś","Chciałam ci kupić ten samochód, dlaczego sam go kupiłeś","Chcel som ti kúpiť to auto, prečo si si ho kúpil sám","Chcela som ti kúpiť to auto, prečo si si ho kúpil sám",,,"Я хотел купить тебе эту машину, почему ты купил ее сам","Я хотела купить тебе эту машину, почему ты купил ее сам","Я хотів купити тобі ту машину, чому ти сам її купив","Я хотіла купити тобі ту машину, чому ти сам її купив",12
3009,I went to the red light district in Amsterdam.,,, Je suis allé dans le quartier rouge d'Amsterdam. , Je suis allée dans le quartier rouge d'Amsterdam. ,,,,,Sono andato nel quartiere a luci rosse di Amsterdam,Sono andata nel quartiere a luci rosse di Amsterdam,,,,,,,,,,,,,,,,,,,Šel jsem do čtvrti červených luceren v Amsterdamu,Šla jsem do čtvrti červených luceren v Amsterdamu,,,,,,,,,,,15
3010,"While I was waiting for my parents to arrive, a stranger's family sat next to me and we talked for about twenty minutes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zatímco jsem čekal na příjezd rodičů, seděla vedle mě cizí rodina a povídali jsme si asi dvacet minut","Zatímco jsem čekala na příjezd rodičů, seděla vedle mě cizí rodina a povídali jsme si asi dvacet minut","Kiedy czekałem na przyjazd rodziców, obok mnie usiadła rodzina nieznajomego i rozmawialiśmy przez około dwadzieścia minut","Kiedy czekałam na przyjazd rodziców, obok mnie usiadła rodzina nieznajomego i rozmawialiśmy przez około dwadzieścia minut","Kým som čakal na príchod rodičov, sedela vedľa mňa cudzia rodina a rozprávali sme sa asi dvadsať minút","Kým som čakala na príchod rodičov, sedela vedľa mňa cudzia rodina a rozprávali sme sa asi dvadsať minút",,,"Пока я ждал приезда родителей, рядом со мной села семья незнакомца, и мы разговаривали около двадцати минут","Пока я ждала приезда родителей, рядом со мной села семья незнакомца, и мы разговаривали около двадцати минут",,,5
3011,"It was a new student, so I stood up for them.",,,,,,,,,,,,,,,,,"Era um aluno novo, então eu o defendi","Era um aluno novo, então eu os defendi",,,,,,,,,"To je bio novi student, pa sam se zauzeo za njih","To je bio novi student, pa sam se zauzela za njih",,,"To był nowy uczeń, więc stanąłem w jego obronie","To był nowy uczeń, więc stanęłam w jego obronie",,,,,,,,,3
3012,I felt horrible when I couldn't help those in need.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3013,I was quite young when I became the CEO.,"Бях доста млад, когато станах главен изпълнителен директор","Бях доста млада, когато станах главен изпълнителен директор", J'étais assez jeune lorsque je suis devenu PDG. , J'étais assez jeune lorsque je suis devenue PDG. ,,,,,Ero molto giovane quando sono diventato CEO,Ero molto giovane quando sono diventata CEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
3014,I have never been afraid of failure.,Никога не съм се страхувал от провал,Никога не съм се страхувала от провал,,,,,,,,,,,,,,,,,,,,,,,,,Nikad se nisam bojao neuspjeha,Nikad se nisam bojala neuspjeha,,,Nigdy nie bałem się porażki,Nigdy nie bałam się porażki,Nikdy som sa nebál zlyhania,Nikdy som sa nebála zlyhania,,,,,,,9
3015,Dirt doesn't scare me - I like to get my hands dirty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Špína mě neděsí - rád si špiním ruce,Špína mě neděsí - ráda si špiním ruce,,,Špina ma nedesí - rád si zašpiním ruky,Špina ma nedesí – rada si zašpiním ruky,,,,,,,8
3016,I mopped the floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Umyłem podłogę,Umyłam podłogę,Utrel som podlahu,Utrela som podlahu,,,,,,,4
3017,I am self-confident.,Аз съм уверен в себе си,Аз съм уверена в себе си,,,,,Είμαι σίγουρος για τον εαυτό μου,Είμαι σίγουρη για τον εαυτό μου,,,Es esmu pārliecināts par sevi,Es esmu pārliecināta par sevi,,,,,,,,,Tengo confianza en mí mismo,Tengo confianza en mí misma,,,,,Ja sam samouvjeren,Ja sam samouvjerena,Jsem sebevědomý,Jsem sebevědomá,Jestem pewny siebie,Jestem pewna siebie,Som sebavedomý,Som sebavedomá,Sem samozavesten,Sem samozavestna,Я уверен в себе,Я уверена в себе,,,9
3018,I told on my colleague.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
3019,I often had to correct the mistakes made by my subordinates.,,,,,,,,,,,,,,,,,,,,,,,,,,,Često sam morao ispravljati greške mojih podređenih,Često sam morala ispravljati greške mojih podređenih,,,Często musiałem korygować błędy popełniane przez moich podwładnych,Często musiałam korygować błędy popełniane przez moich podwładnych,"Často som musel opravovať chyby, ktorých sa dopustili moji podriadení","Často som musela opravovať chyby, ktorých sa dopustili moji podriadení",Pogosto sem moral popravljati napake svojih podrejenih,Pogosto sem morala popravljati napake svojih podrejenih,,,,,13
3020,I struggled to focus on my work or daily tasks due to constant sexual thoughts.,Мъчих се да се съсредоточа върху работата или ежедневните си задачи поради постоянните сексуални мисли,Мъчих се да се съсредоточа върху работата или ежедневните си задачи поради постоянни сексуални мисли,,,,,,,,,,,,,,,,,,,,,,,,,,,Měl jsem potíže soustředit se na svou práci nebo každodenní úkoly kvůli neustálým sexuálním myšlenkám,Měla jsem potíže soustředit se na svou práci nebo každodenní úkoly kvůli neustálým sexuálním myšlenkám,Miałem trudności ze skupieniem się na pracy i codziennych czynnościach z powodu nieustannych myśli o tematyce seksualnej,Miałam trudności ze skupieniem się na pracy i codziennych czynnościach z powodu nieustannych myśli o tematyce seksualnej,,,Zaradi nenehnih spolnih misli sem se težko osredotočil na svoje delo ali dnevne naloge,Zaradi nenehnih spolnih misli sem se težko osredotočila na svoje delo ali dnevne naloge,,,,,15
3021,I wanted to be just friends with benefits!,,, Je voulais juste être amis avec des avantages ! , Je voulais juste être amie avec des avantages ! ,,,,,,,,,,,,,Eu queria que fôssemos apenas amigos com benefícios,Eu queria que fôssemos apenas amigas com benefícios,Am vrut să fiu doar prieten cu beneficii,Am vrut să fiu doar prietenă cu beneficii,,,,,,,,,,,,,,,,,Я хотел быть просто друзьями с привилегиями,Я хотела быть просто друзьями с привилегиями,,,15
3022,I'm better than my classmates.,Аз съм по-добър от моите съученици,Аз съм по-добра от моите съученици, Je suis meilleur que mes camarades de classe. , Je suis meilleure que mes camarades de classe. ,,,Είμαι καλύτερος από τους συμμαθητές μου,Είμαι καλύτερη από τους συμμαθητές μου,,,Es esmu labāks par saviem klasesbiedriem,Es esmu labāka par saviem klasesbiedriem,Aš geresnis už savo klasės draugus,Aš geresnė už savo klasės draugus,,,,,,,,,,,,,Bolji sam od svojih kolega iz razreda,Bolja sam od svojih kolega iz razreda,,,Jestem lepszy niż moi koledzy z klasy,Jestem lepsza niż moi koledzy z klasy,Som lepší ako moji spolužiaci,Som lepšia ako moji spolužiaci,Boljši sem od svojih sošolcev,Bolja sem od svojih sošolcev,,,Я кращий за своїх однокласників,Я краща за своїх однокласників,9
3023,"When I am angry, I cry.","Когато съм ядосан, плача","Когато съм ядосана, плача",,,,,"Όταν είμαι θυμωμένος, κλαίω","Όταν είμαι θυμωμένη, κλαίω","Quando sono arrabbiato, piango","Quando sono arrabbiata, piango","Kad esmu dusmīgs, es raudu","Kad esmu dusmīga, es raudu",,,,,,,,,"Cuando estoy enojado, lloro","Cuando estoy enojada, lloro","Quan estic enfadat, ploro","Quan estic enfadada, ploro","Cando estou enfadado, choro","Cando estou enfadada, choro","Kad sam ljut, ja plačem","Kad sam ljuta, ja plačem","Když jsem naštvaný, pláču","Když jsem naštvaná, pláču","Kiedy jestem zły, płaczę","Kiedy jestem zła, płaczę","Keď som nahnevaný, plačem","Keď som nahnevaná, plačem","Ko sem jezen, jočem","Ko sem jezna, jočem",,,,,1
3024,I've raised my kids to be orderly from a young age.,,,,,,,,,,,Es jau no mazotnes esmu audzinājis savus bērnus par kārtīgiem,Es jau no mazotnes esmu audzinājusi savus bērnus par kārtīgiem,,,,,,,,,,,,,,,Svoju sam djecu od malih nogu odgajao da budu uredna,Svoju sam djecu od malih nogu odgajala da budu uredna,,,,,,,,,Я воспитывал своих детей аккуратными с раннего возраста,Я воспитывала своих детей аккуратными с раннего возраста,Я виховував своїх дітей у порядку змалку,Я виховувала своїх дітей у порядку змалку,4
3025,Everybody keeps saying that I should smile more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Všichni pořád říkají, že bych se měl víc usmívat","Všichni pořád říkají, že bych se měla víc usmívat",,,"Všetci stále hovoria, že by som sa mal viac usmievať","Všetci stále hovoria, že by som sa mala viac usmievať","Vsi kar naprej govorijo, da bi se moral bolj smejati","Vsi kar naprej govorijo, da bi se morala bolj smejati",,,"Усі постійно кажуть, що я повинен більше посміхатися","Усі постійно кажуть, що я повинна більше посміхатися",2
3026,I should have joined the self defence class.,,,,,,,,,,,,,,,,,,,,,,,,,,,Trebao sam se pridružiti tečaju samoobrane,Trebala sam se pridružiti tečaju samoobrane,Měl jsem vstoupit do třídy sebeobrany,Měla jsem vstoupit do třídy sebeobrany,,,,,Moral bi se pridružiti tečaju samoobrambe,Morala bi se pridružiti tečaju samoobrambe,,,,,6
3027,"I found it challenging to confront my fears, recognizing my weakness in overcoming them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zdelo se mi je izziv soočiti se s svojimi strahovi, saj sem spoznal svojo šibkost pri njihovem premagovanju","Zdelo se mi je izziv soočiti se s svojimi strahovi, saj sem spoznala svojo šibkost pri njihovem premagovanju",,,,,6
3028,"I got paid last week, so I took my family out.",,," J'ai été payé la semaine dernière, alors j'ai emmené ma famille. "," J'ai été payée la semaine dernière, alors j'ai emmené ma famille. ",,,,,"La settimana scorsa ho ricevuto lo stipendio, quindi sono uscito con la mia famiglia","La settimana scorsa ho ricevuto lo stipendio, quindi sono uscita con la mia famiglia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
3029,They were surprised to see that I could stand up for myself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3030,They told me how I should behave myself and I listened to them.,,,,,,,,,,,,,,,,,,,,,,,,,,,Rekli su mi kako se trebam ponašati i ja sam ih poslušao,Rekli su mi kako se trebam ponašati i ja sam ih poslušala,"Řekli mi, jak se mám chovat, a já je poslouchal","Řekli mi, jak se mám chovat, a já je poslouchala",,,"Povedali mi, ako sa mám správať a ja som ich počúval","Povedali mi, ako sa mám správať a ja som ich počúvala","Povedali so mi, kako naj se obnašam, in poslušal sem jih","Povedali so mi, kako naj se obnašam, in poslušala sem jih",,,,,2
3031,I loved a good challenge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uwielbiałem dobre wyzwania,Uwielbiałam dobre wyzwania,,,,,,,,,9
3032,"I spent hours in the bathroom, didn't I?",,,,,,,,,,,,,,,,,,,,,,,,,,,"Proveo sam sate u kupaonici, zar ne","Provela sam sate u kupaonici, zar ne","Strávil jsem hodiny v koupelně, že","Strávila jsem hodiny v koupelně, že","Spędziłem przecież wiele godzin w łazience, prawda","Spędziłam przecież wiele godzin w łazience, prawda","Strávil som hodiny v kúpeľni, však","Strávila som hodiny v kúpeľni, však","Ure sem preživel v kopalnici, kajne","Ure sem preživela v kopalnici, kajne","Я провел несколько часов в ванной, не так ли","Я провела несколько часов в ванной, не так ли",,,7
3033,I went undercover to help the community.,,,,,,,,,Sono andato sotto copertura per aiutare la comunità,Sono andata sotto copertura per aiutare la comunità,,,,,,,,,,,,,,,,,Išao sam na tajni zadatak da pomognem zajednici,Išla sam na tajni zadatak da pomognem zajednici,,,,,,,,,"Я работал под прикрытием, чтобы помочь обществу","Я работала под прикрытием, чтобы помочь обществу",,,8
3034,My friends appreciated that I looked good after the event.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Moji přátelé ocenili, že jsem po akci vypadal dobře","Moji přátelé ocenili, že jsem po akci vypadala dobře","Moi znajomi docenili to, że dobrze wyglądałem po tym wydarzeniu","Moi znajomi docenili to, że dobrze wyglądałam po tym wydarzeniu","Moji priatelia ocenili, že som po akcii vyzeral dobre","Moji priatelia ocenili, že som po akcii vyzerala dobre","Moji prijatelji so cenili, da sem po dogodku izgledal dobro","Moji prijatelji so cenili, da sem po dogodku izgledala dobro","Мои друзья оценили, что я хорошо выглядел после мероприятия","Мои друзья оценили, что я хорошо выглядела после мероприятия","Мої друзі оцінили, що я добре виглядав після події","Мої друзі оцінили, що я добре виглядала після події",2
3035,I didn't want help from my kids when it came to cleaning the house.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nechtěl jsem od svých dětí pomoc, když došlo na úklid domu","Nechtěla jsem od svých dětí pomoc, když došlo na úklid domu","Nie chciałem, żeby moje dzieci pomagały mi w sprzątaniu domu","Nie chciałam, żeby moje dzieci pomagały mi w sprzątaniu domu",,,"Nisem želel pomoči svojih otrok, ko je šlo za čiščenje hiše","Nisem želela pomoči svojih otrok, ko je šlo za čiščenje hiše","Я не хотел, чтобы мои дети помогали мне с уборкой дома","Я не хотела, чтобы мои дети помогали мне с уборкой дома",,,4
3036,I did not hesitate for a second when they asked me to take care of my mother.,,,,,,,,,,,,,,,,,,,,,,,,,,,Nisam oklijevao ni sekunde kada su me zamolili da se brinem za svoju majku,Nisam oklijevala ni sekunde kada su me zamolili da se brinem za svoju majku,"Neváhal jsem ani vteřinu, když mě požádali, abych se postaral o svou matku","Neváhala jsem ani vteřinu, když mě požádali, abych se postaral o svou matku",,,"Neváhal som ani sekundu, keď ma požiadali, aby som sa postaral o svoju matku","Neváhala som ani sekundu, keď ma požiadali, aby som sa postaral o svoju matku","Niti za trenutek nisem okleval, ko so me prosili, naj poskrbim za svojo mamo","Niti za trenutek nisem oklevala, ko so me prosili, naj poskrbim za svojo mamo",,,,,3
3037,"I want kids, so that I can have a companion for playing games.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Želim djecu, kako bih mogao imati društvo za igranje igrica","Želim djecu, kako bih mogla imati društvo za igranje igrica","Chci děti, abych mohl mít společníka na hraní her","Chci děti, abych mohla mít společníka na hraní her",,,"Chcem deti, aby som mohol mať spoločníka na hranie hier","Chcem deti, aby som mohla mať spoločníka na hranie hier","Želim si otroke, da bi lahko imel družabnika za igranje iger","Želim si otroke, da bi lahko imela družabnika za igranje iger",,,,,14
3038,I like to joke around instead of being serious.,"Обичам да се шегувам, вместо да съм сериозен","Обичам да се шегувам, вместо да съм сериозна", J'aime plaisanter plutôt qu'être sérieux. , J'aime plaisanter plutôt qu'être sérieuse. ,,,Μου αρέσει να αστειεύομαι αντί να είμαι σοβαρός,Μου αρέσει να αστειεύομαι αντί να είμαι σοβαρή,Mi piace scherzare invece di essere serio,Mi piace scherzare invece di essere seria,"Man patīk jokot, nevis būt nopietnam","Man patīk jokot, nevis būt nopietnai",,,Inħobb niċċajta flok inkun serju,Inħobb niċċajta flok inkun serja,,,,,Me gusta bromear en lugar de ser serio,Me gusta bromear en lugar de ser seria,,,,,Volim se šaliti umjesto da budem ozbiljan,Volim se šaliti umjesto da budem ozbiljna,,,,,,,,,"Мне нравится шутить, а не быть серьезным","Мне нравится шутить, а не быть серьезной",,,14
3039,I made that decision based on my emotions.,,,,,,,,,,,,,Aš priėmiau tokį sprendimą remdamasis savo emocijomis,Aš priėmiau tokį sprendimą remdamasi savo emocijomis,,,,,,,,,,,,,,,Rozhodl jsem se na základě svých emocí,Rozhodla jsem se na základě svých emocí,Podjąłem tę decyzję pod wpływem emocji,Podjęłam tę decyzję pod wpływem emocji,Rozhodol som sa na základe svojich emócií,Rozhodla som sa na základe svojich emócií,Tako sem se odločil na podlagi svojih čustev,Tako sem se odločila na podlagi svojih čustev,"Я принял это решение, основываясь на своих эмоциях","Я приняла это решение, основываясь на своих эмоциях",Я прийняв це рішення на основі своїх емоцій,Я прийняла це рішення на основі своїх емоцій,1
3040,I had a logical mindset and it saved me a lot of time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Měl jsem logické myšlení a ušetřilo mi to spoustu času,Měla jsem logické myšlení a ušetřilo mi to spoustu času,,,Mal som logické myslenie a ušetrilo mi to veľa času,Mala som logické myslenie a ušetrilo mi to veľa času,,,,,,,11
3041,I remained silent during discussions or debates.,,,,,,,,,Sono rimasto in silenzio durante le discussioni o i dibattiti,Sono rimasta in silenzio durante le discussioni o i dibattiti,,,,,,,,,,,,,,,,,,,,,Podczas dyskusji i debat milczałem,Podczas dyskusji i debat milczałam,,,,,,,,,2
3042,I won the tug of war.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
3043,"I don't like splitting the bill, because I want to treat my partner.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
3044,I had difficulty controlling my impulses.,,,,,,,,,,,,,,,,,,,,,,,,,,,Imao sam poteškoća s kontroliranjem svojih impulsa,Imala sam poteškoća s kontroliranjem svojih impulsa,Měl jsem potíže ovládat své impulsy,Měla jsem potíže ovládat své impulsy,Miałem trudności z kontrolowaniem swoich impulsów,Miałam trudności z kontrolowaniem swoich impulsów,Mal som problém ovládať svoje impulzy,Mala som problém ovládať svoje impulzy,Težko sem nadzoroval svoje impulze,Težko sem nadzorovala svoje impulze,,,,,14
